ID,COUNTRY,ISO,ADMIN_LEVEL_NAME,PCODE,REGION,CATEGORY,MEASURE,TARGETED_POP_GROUP,COMMENTS,DATE_IMPLEMENTED,SOURCE,SOURCE_TYPE,LINK,ENTRY_DATE,Alternative source
1635,France,FRA,,,Europe,Social distancing,Limit public gatherings,No,Ban of gatherings of more than 1000 people ,8/03/2020,Government,Government,https://www.gouvernement.fr/info-coronavirus,23/03/2020,
1636,France,FRA,,,Europe,Social and economic measures,Economic measures,No,Financial support for unemployed persons forced to stay at home due to the situation; postponing of tax payment enabled; delay of payment for recurring costs for SMEs; strengthening of credit opportunities for companies; ,12/03/2020,Government,Government,https://www.gouvernement.fr/info-coronavirus,23/03/2020,https://www.gouvernement.fr/sites/default/files/contenu/piece-jointe/2020/03/brochure_fiches_pratiques_sur_les_mesures_de_soutien.pdf
1637,France,FRA,,,Europe,Public health measures,General recommendations,No,In connection with the closure of Schengen borders are all French citizens adviced to not travel abroad and if abroad come home urgently,18/03/2020,Government,Government,https://www.gouvernement.fr/info-coronavirus,23/03/2020,
1638,France,FRA,,,Europe,Movement restrictions,Border closure ,No,Foreign citizens that are not permanents residents in France are banned from entering the country for 30 days,18/03/2020,Ministry for Europe and Foreign Affairs,Government,https://www.diplomatie.gouv.fr/en/coming-to-france/coronavirus-advice-for-visitors-to-france/coronavirus-statements/article/statement-by-jean-yves-le-drian-minister-for-europe-and-foreign-affairs,23/03/2020,
1552,Gabon,GAB,,,Africa,Movement restrictions,Flights suspension,No,Restricting international flights to and from Gabon to one international flight per airline per week. ,17/03/2020,US Embassy,Government,https://ga.usembassy.gov/health-alert-u-s-embassy-libreville-gabon-march-19-2020/,23/03/2020,
1553,Gabon,GAB,,,Africa,Social and economic measures,General lockdown,No,Country-wide curfew between the hours of 7:30 p.m. and 6:00 a.m.,22/03/2020,US Embassy,Government,https://ga.usembassy.gov/health-alert-u-s-embassy-libreville-gabon-march-21-2020/,23/03/2020,
1554,Gabon,GAB,,,Africa,Social and economic measures,Economic measures,No,Covid-19 related health expenses are reinbursed by the government. ,7/03/2020,Government — Gabon,Government,https://www.facebook.com/Covid19GOUVGA/videos/516410685956232/,23/03/2020,
1555,Gabon,GAB,,,Africa,Movement restrictions,Border checks ,No,"Additional health checks at all land, air and sea borders.",7/03/2020,Government — Gabon,Government,https://www.facebook.com/Covid19GOUVGA/videos/516410685956232/,23/03/2020,
1556,Gabon,GAB,,,Africa,Social distancing,Public services closure ,No,Restriction for international missions. ,7/03/2020,Government — Gabon,Government,https://www.facebook.com/Covid19GOUVGA/videos/516410685956232/,23/03/2020,
1557,Gabon,GAB,,,Africa,Public health measures,Introduction of quarantine policies,No,"14 days quarantine for travellers coming from unspecified ""risk zones""",7/03/2020,Government — Gabon,Government,https://www.facebook.com/Covid19GOUVGA/videos/516410685956232/,23/03/2020,
1569,Gabon,GAB,,,Africa,Public health measures,Awareness campaigns,No,,7/03/2020,Government — Gabon,Government,https://www.facebook.com/Covid19GOUVGA/videos/516410685956232/,23/03/2020,
1570,Gabon,GAB,,,Africa,Movement restrictions,Visa restrictions,No,"Suspension of tourist visas from EU, China, South Corea and US. ",13/03/2020,Government — Gabon,Government,https://www.facebook.com/Covid19GOUVGA/videos/vb.107766050833852/532053067452245/?type=2&theater,23/03/2020,
1571,Gabon,GAB,,,Africa,Social distancing,Schools closure ,No,Until 1st of april.,13/03/2020,Government — Gabon,Government,https://www.facebook.com/Covid19GOUVGA/videos/vb.107766050833852/532053067452245/?type=2&theater,23/03/2020,
1572,Gabon,GAB,,,Africa,Social and economic measures,General lockdown,No,Bars and clubs are closed. National cultural and sport events are cancelled.,13/03/2020,Government — Gabon,Government,https://www.facebook.com/Covid19GOUVGA/videos/vb.107766050833852/532053067452245/?type=2&theater,23/03/2020,
1573,Gabon,GAB,,,Africa,Social distancing,Limit public gatherings,No,Gathering of more than 50 people are forbidden.,13/03/2020,Government — Gabon,Government,https://www.facebook.com/Covid19GOUVGA/videos/vb.107766050833852/532053067452245/?type=2&theater,23/03/2020,
1574,Gabon,GAB,,,Africa,Social distancing,Limit public gatherings,No,International sport events to happen without audience.,13/03/2020,Government — Gabon,Government,https://www.facebook.com/Covid19GOUVGA/videos/vb.107766050833852/532053067452245/?type=2&theater,23/03/2020,
1576,Gabon,GAB,,,Africa,Public health measures,General recommendations,No,To use public transport only for indispensable travels.,13/03/2020,Government — Gabon,Government,https://www.facebook.com/Covid19GOUVGA/videos/vb.107766050833852/532053067452245/?type=2&theater,23/03/2020,
608,Gambia,GMB,,,Africa,Social and economic measures,Emergency administrative structures activated or established,No,"The National Health Emergency Committee, a multi-stakeholder forum to support the preparedness of The Gambia, was activated in early February",1/02/2020,US Embassy,Government,https://gm.usembassy.gov/u-s-citizen-services/covid-19-information/,16/03/2020,
619,Gambia,GMB,,,Africa,Public health measures,Health screenings in airports and border crossings,No,"Arriving passengers at Banjul Yundum International Airport are provided with an additional health screening form to fill out prior to disembarking. Upon arrival, all passengers are subject to enhanced health screening measures by health officials, which include thermal screening, review of recent travel, and application of hand sanitizer.",7/02/2020,US Embassy,Government,https://gm.usembassy.gov/u-s-citizen-services/covid-19-information/,16/03/2020,
640,Gambia,GMB,,,Africa,Public health measures,Introduction of quarantine policies,Yes,Passengers who arrive in The Gambia exhibiting both an elevated temperature and symptoms consistent with COVID-19 may be placed into an isolation center at the airport or POE for further evaluation by health officials. Individuals suspected of having COVID-19 following evaluation may then be transferred to a local hospital.,,US Embassy,Government,https://gm.usembassy.gov/u-s-citizen-services/covid-19-information/,16/03/2020,
676,Gambia,GMB,,,Africa,Public health measures,Awareness campaigns,No,,,Government,Government,https://www.facebook.com/Ministry-of-Health-The-Gambia-100866698020695/,16/03/2020,
1604,Gambia,GMB,,,Africa,Movement restrictions,Border closure ,No,The border between Republic of The Gambia and the Republic of Senegal is closed for 21 days. The public are told this will not effect movement of essential goods across the border.,24/03/2020,Government,Social media,https://twitter.com/Presidency_GMB/status/1241488320766644224/photo/1,23/03/2020,
1605,Gambia,GMB,,,Africa,Movement restrictions,Flights suspension,No,The republic of The Gambia closes its airspace to all flights except medical cargo flights for a period of 21 days.,24/03/2020,Government,Social media,https://twitter.com/Presidency_GMB/status/1241488320766644224/photo/1,23/03/2020,
1606,Gambia,GMB,,,Africa,Movement restrictions,Flights suspension,No,"All flights to The Gambia from 13 affected countries (The United Kingdom, Spain, France, Poland, Germany, Sweden, Denmark, Switzerland, Netherlands, Norway, Austria, Belgium, Portugal) are suspended with immediate effect.",19/03/2020,Government,Social media,https://twitter.com/Presidency_GMB/status/1240700146406416385,23/03/2020,
1607,Gambia,GMB,,,Africa,Social distancing,Schools closure ,No,"All schools, including universities, madrassas and daras or majlis will be closed for 21 days.",18/03/2020,Government,Social media,https://twitter.com/presidency_gmb?lang=en,23/03/2020,
1608,Gambia,GMB,,,Africa,Public health measures,Introduction of quarantine policies,Yes,All travellers from hotspot countries will be isolated for fourteen (14) days upon arrival in The Gambia. ,17/03/2020,Government,Social media,https://twitter.com/presidency_gmb?lang=en,23/03/2020,
1609,Gambia,GMB,,,Africa,Movement restrictions,Travel restrictions,No,All overseas travel of public officials suspended. ,13/03/2020,Government,Social media,https://twitter.com/presidency_gmb?lang=en,23/03/2020,
545,Georgia,GEO,,,Europe,Movement restrictions,Travel restrictions,No,No entry except citizens and those with family in Georgia (until at least 1. April),18/03/2020,Ministry of Foreign Affairs - France,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/georgie/,16/03/2020,
551,Georgia,GEO,,,Europe,Movement restrictions,Additional health/documents requirements upon arrival,Yes,"People having travelled in France, Germany, Austria, Spain, China, Iran, South Korea and Italy",16/03/2020,Ministry of Foreign Affairs - France,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/georgie/,16/03/2020,
553,Georgia,GEO,,,Europe,Public health measures,Introduction of quarantine policies,Yes,"People having travelled in France, Germany, Austria, Spain, China, Iran, South Korea and Italy for 14 days",16/03/2020,Ministry of Foreign Affairs - France,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/georgie/,16/03/2020,
1193,Georgia,GEO,,,Europe,Movement restrictions,Flights suspension,No,Suspend all air movement *except Georgian Airways in coordination with Georgian government. ,21/03/2020,US Embassy of Georgia,Government,https://ge.usembassy.gov/covid-19-information-on-georgia/,20/03/2020,
1194,Georgia,GEO,,,Europe,Public health measures,Introduction of quarantine policies,No,14 day home quarantine for anyone returning from highrisk areas in past 2 weeks - anyone with symptoms/postivie: hospital quarantine ,21/03/2020,US Embassy of Georgia,Government,https://ge.usembassy.gov/covid-19-information-on-georgia/,20/03/2020,https://stopcov.ge/en
1195,Georgia,GEO,,,Europe,Movement restrictions,Border closure ,No,All land borders *Except the Vale and Kartsakhi crossings with Turkey for Georgian citizens or of neighboring countries returning to their home countries.  ,21/03/2020,US Embassy of Georgia,Government,https://ge.usembassy.gov/covid-19-information-on-georgia/,20/03/2020,
367,Germany,DEU,,,Europe,Social and economic measures,Economic measures,No,Announcement of a government aid programm including a loan system for private businesses; incentivizing of short time work; tax deferrals ,15/03/2020,Government,Government,https://www.bundesregierung.de/breg-de/themen/coronavirus/milliardenhilfen-wegen-corono-1730386,15/03/2020,
368,Germany,DEU,,,Europe,Public health measures,Strengthening the public health system,No,all non-essential surgeries in hospitals will be postponed indefinitely starting 16 March,16/03/2020,Government,Government,https://www.bundesregierung.de/breg-de/themen/coronavirus/beschluss-zu-corona-1730292,15/03/2020,
372,Germany,DEU,,,Europe,Public health measures,Strengthening the public health system,No,special funding for research on coronavirus (145 mio €),11/03/2020,Ministry of Health,Government,https://www.bmbf.de/de/karliczek-wir-bauen-mittel-zur-forschung-am-coronavirus-erheblich-aus-11091.html,15/03/2020,
373,Germany,DEU,,,Europe,Social distancing,Limit public gatherings,No,all gatherings over 1.000 members are cancelled,10/03/2020,Ministry of Health,Government,https://www.bundesgesundheitsministerium.de/presse/pressemitteilungen/2020/1-quartal/krisenstab-bmg-bmi-sitzung-5.html,15/03/2020,
374,Germany,DEU,,,Europe,Movement restrictions,Border checks ,No,"intensification of border controls, particularly of Southern borders",10/03/2020,Ministry of Health,Government,https://www.bundesgesundheitsministerium.de/presse/pressemitteilungen/2020/1-quartal/krisenstab-bmg-bmi-sitzung-5.html,15/03/2020,
375,Germany,DEU,,,Europe,Social and economic measures,Economic measures,No,suspension on the usual ban of commercial road traffic on Sundays and partial suspension of Sunday work ban,10/03/2020,Ministry of Health,Government,https://www.bundesgesundheitsministerium.de/presse/pressemitteilungen/2020/1-quartal/krisenstab-bmg-bmi-sitzung-5.html,15/03/2020,
376,Germany,DEU,,,Europe,Public health measures,Awareness campaigns,No,health campaign,6/02/2020,Government,Government,https://www.bundesregierung.de/breg-de/themen/coronavirus/coronavirus-1725960,15/03/2020,
400,Germany,DEU,,,Europe,Social and economic measures,Limit product imports/exports,No,export ban for medical protection gear such as masks and gloves,4/03/2020,Ministry of Health,Government,https://www.bundesgesundheitsministerium.de/weiterere-beschluesse-krisenstab-bmi-bmg.html,15/03/2020,
401,Germany,DEU,,,Europe,Movement restrictions,Additional health/documents requirements upon arrival,Yes,"passengers arriving from China, South Korea, Japan, Italy and Iran have to announce their health status before entering Germany",29/02/2020,Ministry of Health,Government,https://www.bundesgesundheitsministerium.de/presse/pressemitteilungen/2020/1-quartal/krisenstab-bmg-bmi.html,15/03/2020,
402,Germany,DEU,,,Europe,Public health measures,Introduction of quarantine policies,Yes,"travelers arriving from Austria, Italy and Switzerland are asked to self-quarantine for 14 days",14/02/2020,Ministry of Health,Government,https://www.bundesgesundheitsministerium.de/coronavirus.html,15/03/2020,
403,Germany,DEU,,,Europe,Movement restrictions,Border closure ,Yes,"closure of borders with France, Switzerland, Luxembourg, Denmark starting on 16 March for all non-citizens and people not crossing borders for work purposes",16/02/2020,Tagesschau,Media,https://www.tagesschau.de/inland/corona-grenzschliessung-deutschland-101.html,15/03/2020,
449,Germany,DEU,,,Europe,Social distancing,Schools closure ,No,"state-based school and nursery closure in 12 states (as of 16/03), implementation dates vary but for most states closures start on 16 March",16/03/2020,Deutschlandfunk,Media,https://www.deutschlandfunk.de/covid-19-wie-sich-das-coronavirus-auf-schule-universitaet.1939.de.html?drn:news_id=1110102,16/03/2020,
1640,Germany,DEU,Freiburg,,Europe,Social and economic measures,General lockdown,No,"Freiburg started, with ongoing discussions on federal level, a complete lock-down",21/03/2020,Tagesschau,Media,https://www.tagesschau.de/inland/freiburg-ausgangssperre-101.html,23/03/2020,
1641,Germany,DEU,,,Europe,Social distancing,Public services closure ,No,"Restaurants are being closed, delivery still possible",22/03/2020,Government,Government,https://www.bmi.bund.de/SharedDocs/downloads/DE/veroeffentlichungen/2020/hinweis-einschraenkung-soziale-kontakte.pdf?__blob=publicationFile&v=1,23/03/2020,
1642,Germany,DEU,,,Europe,Social distancing,Limit public gatherings,No,Movement in public spaces is limited to one person; or person co-living,22/03/2020,Government,Government,https://www.bmi.bund.de/SharedDocs/downloads/DE/veroeffentlichungen/2020/hinweis-einschraenkung-soziale-kontakte.pdf?__blob=publicationFile&v=1,23/03/2020,
1643,Germany,DEU,,,Europe,Social distancing,Public services closure ,No,All non essential public services are being close,16/03/2020,Ministry of the Interior,Government,https://www.bmi.bund.de/SharedDocs/faqs/DE/themen/bevoelkerungsschutz/coronavirus/coronavirus-faqs.html,23/03/2020,
1644,Germany,DEU,,,Europe,Social distancing,Limit public gatherings,No,All events with more than 50 persons are banned,,Ministry of the Interior,Government,https://www.bmi.bund.de/SharedDocs/faqs/DE/themen/bevoelkerungsschutz/coronavirus/coronavirus-faqs.html,23/03/2020,
696,Ghana,GHA,,,Africa,Movement restrictions,Travel restrictions,Yes,"Ghana has barred entry for all travelers, except Ghanaian citizens and permanent residents, who have visited a country with at least 200 recorded cases of Covid-19 in the last 14 days.",17/03/2020,Ghanain Government: Ministry of Information,Government,https://twitter.com/moigovgh,16/03/2020,
697,Ghana,GHA,,,Africa,Public health measures,Introduction of quarantine policies,No,People coming from abroad,15/03/2020,Ministry of Foreign Affairs - Italy,Social media,http://www.viaggiaresicuri.it/country/GHA,16/03/2020,
698,Ghana,GHA,,,Africa,Movement restrictions,Additional health/documents requirements upon arrival,No,Autocertification on arrival,15/03/2020,Ministry of Foreign Affairs - Italy,Government,http://www.viaggiaresicuri.it/country/GHA,16/03/2020,
699,Ghana,GHA,,,Africa,Movement restrictions,Flights suspension,Yes,Flight reduction to and from italy and global,15/03/2020,Ministry of Foreign Affairs - Italy,Government,http://www.viaggiaresicuri.it/country/GHA,16/03/2020,
1617,Ghana,GHA,,,Africa,Social distancing,Schools closure ,No,"All unversities, senior high schools and basic schools to close. However, BECE and WASSCE candidated will be allowed to attend school to prepare for exams, but will have to follow social distancing protocols.",16/03/2020,Government: President's Twitter,Social media,https://twitter.com/NAkufoAddo/status/1239321811206246403/photo/1,23/03/2020,
1618,Ghana,GHA,,,Africa,Movement restrictions,Travel restrictions,No,All Ghanains directed to desist from all foreign travel unless critcal.,11/03/2020,Government: President's Twitter,Social media,https://twitter.com/NAkufoAddo,23/03/2020,
1619,Ghana,GHA,,,Africa,Public health measures,General recommendations,No,President directs public to stop shaking hands and cover mouth when coughing or sneezing.,6/03/2020,Government: President's Twitter,Social media,https://twitter.com/NAkufoAddo,23/03/2020,
1620,Ghana,GHA,,,Africa,Movement restrictions,Travel restrictions,Yes,"International travel of public officials suspended, except for critical assignments.",10/03/2020,Government: President's Twitter,Social media,https://twitter.com/NAkufoAddo,23/03/2020,
1621,Ghana,GHA,,,Africa,Public health measures,General recommendations,Yes,"Establishments such as shops and restaurants, as well as transport operators are required to enhance hygeine procedures by providing hand sanitizers and running water and soap.",15/03/2020,Government: President's Twitter,Social media,https://twitter.com/NAkufoAddo,23/03/2020,
1623,Ghana,GHA,,,Africa,Public health measures,Introduction of quarantine policies,Yes,Mandatory self quarantine for people who are allowed enter the country. People deemed unable to satisfactorily self-quarantine will be quarantined by the state.,17/03/2020,Government: Ministry of Information,Social media,https://twitter.com/moigovgh/status/1239197635006943235/photo/1,23/03/2020,
1624,Ghana,GHA,,,Africa,Movement restrictions,Border closure ,No,"All borders by land, sea and air will be closed to human traffic for the next 2 weeks. This will not apply to goods, supplies and cargo.",23/03/2020,Government: Ministry of Information,Social media,https://twitter.com/moigovgh/status/1239197635006943235/photo/1,23/03/2020,
1625,Ghana,GHA,,,Africa,Public health measures,Health screenings in airports and border crossings,Yes,Anyone who comes into the country before closure of borders will be mandatorily quarantined and tested for the virus.,21/03/2020,Government: Ministry of Information,Social media,https://twitter.com/moigovgh/status/1239197635006943235/photo/1,23/03/2020,
1626,Ghana,GHA,,,Africa,Public health measures,Strengthening the public health system,No,Ministry of health is mobilising new and retired health care professionals to prepare for surge in infections. ,21/03/2020,Government: Ministry of Information,Social media,https://twitter.com/moigovgh/status/1239197635006943235/photo/1,23/03/2020,
321,Greece,GRC,,,Europe,Public health measures,Awareness campaigns,No,,9/03/2020,Ministry of Health,Government,https://www.moh.gov.gr/articles/health/dieythynsh-dhmosias-ygieinhs/metadotika-kai-mh-metadotika-noshmata/c388-egkyklioi/6652-odhgies-prostasias-apo-anapneystikh-loimwksh-apo-to-neo-koronaio,15/03/2020,
323,Greece,GRC,,,Europe,Social distancing,Limit public gatherings,No,,13/03/2020,,,,15/03/2020,
327,Greece,GRC,,,Europe,Social distancing,Schools closure ,No,,11/03/2020,Ministry of Education,Government,https://www.minedu.gov.gr/koronoios-kentriki,15/03/2020,
329,Greece,GRC,,,Europe,Social and economic measures,Economic measures,No,,13/03/2020,Newsbomb,Media,https://www.newsbomb.gr/oikonomia/story/1062587/koronoios-ektakta-metra-apo-to-ypoyrgeio-oikonomikon-oi-oxto-paremvaseis,15/03/2020,
364,Greece,GRC,,,Europe,Public health measures,Health screenings in airports and border crossings,No,,,Skai,Media,https://www.skai.gr/news/ygeia/koronoios-enisxyontai-ta-metra-sto-eleytherios-venizelos-poia-tha-einai-i-diadikasia,15/03/2020,
385,Greece,GRC,,,Europe,Public health measures,Strengthening the public health system,No,hiring more doctors and nurses,13/03/2020,Ministry of health,Government,https://eody.gov.gr/prosklisi-ekdilosis-endiaferontos-pe-iatron-me-kathestos-ekdosis-deltioy-parochis-ypiresion-sto-plaisio-antimetopisis-pithanon-ypopton-kroysmaton-toy-novel-corona-virus-2019-ncov/,15/03/2020,
387,Greece,GRC,,,Europe,Movement restrictions,Border closure ,Yes,Albania and Northern Macedonia,15/03/2020,French Embassy,Government,https://gr.ambafrance.org/Covid19-Gr,15/03/2020,
388,Greece,GRC,,,Europe,Movement restrictions,Flights suspension,Yes,Italy Spain,9/03/2020,French Embassy,Government,https://gr.ambafrance.org/Covid19-Gr,15/03/2020,
398,Greece,GRC,,,Europe,Public health measures,Introduction of quarantine policies,No,,,ministry of health,Government,,15/03/2020,
1196,Greece,GRC,,,Europe,Social distancing,Public services closure ,No,"Notionawide: All gatherings of 10+ ppl, all non-essential facilities (until at least 25. march) hotels are closed until 30. April ",18/03/2020,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,20/03/2020,https://gr.usembassy.gov/covid-19-information/
1197,Greece,GRC,,,Europe,Movement restrictions,Border closure ,Yes,"land: Albania, North Macedonia, and Turkey. Air: Italy and Spain; Sea: Italy",15/03/2020,US Embassy of Greece ,Government,https://gr.usembassy.gov/covid-19-information/,20/03/2020,
1198,Greece,GRC,Islands,,Europe,Movement restrictions,Border closure ,No,Sea: only local residents will be allowed to board ferries to the islands and ships carrying essentials,21/03/2020,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,20/03/2020,
1199,Greece,GRC,islands ,,Europe,Movement restrictions,Lockdown of refugee/idp camps,Yes,"Aegean islands: lockdown for at least 14 days. No volunteers allowed in camps, and school classes for migrant children have been suspended. Entry will be allowed only to staff and there will be a compulsory temperature check for new arrivals.",17/03/2020,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,20/03/2020,
1200,Greece,GRC,,,Europe,Movement restrictions,Visa restrictions,Yes,"All non-eu nationals *except spouses/children of EU/Schengen nationals, long-term residents, members of government delegations, and passengers in transit.",18/03/2020,US Embassy of Greece ,Government,https://gr.usembassy.gov/covid-19-information/,20/03/2020,
1201,Greece,GRC,,,Europe,Public health measures,Introduction of quarantine policies,No,mandatory 14 day self-quarantine on all international arrivals.,16/03/2020,US Embassy of Greece ,Government,https://gr.usembassy.gov/covid-19-information/,20/03/2020,
236,Grenada,GRD,,,Americas,Public health measures,Health screenings in airports and border crossings,Yes,,,US Embassy,Government,https://bb.usembassy.gov/u-s-citizen-services/covid-19-information/,15/03/2020,
237,Grenada,GRD,,,Americas,Public health measures,Introduction of quarantine policies,Yes,,,US Embassy,Government,https://bb.usembassy.gov/u-s-citizen-services/covid-19-information/,15/03/2020,
110,Guatemala,GTM,,,Americas,Movement restrictions,Travel restrictions,Yes,"People coming from France, Germany, Spain, Italy, Chna, Iran, South Korea, North Korea in the 30 days before date of arrival.",12/03/2020,Ministry of Foreign Affairs - France,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/guatemala/,14/03/2020,
111,Guatemala,GTM,,,Americas,Public health measures,Introduction of quarantine policies,Yes,Diplomats and residents coming from those countries are put in 7 days home quarantine,12/03/2020,Ministry of Foreign Affairs - France,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/guatemala/,14/03/2020,
112,Guatemala,GTM,,,Americas,Public health measures,Health screenings in airports and border crossings,Yes,People coming from Panama,12/03/2020,Ministry of Foreign Affairs - France,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/guatemala/,14/03/2020,
804,Guatemala,GTM,,,Americas,Movement restrictions,Border closure ,No,closure of all borders as of 16 March for 15 days,16/03/2020,US Embassy,Government,https://gt.usembassy.gov/u-s-embassy-guatemala-city-guatemala-march-16-2020/,17/03/2020,
805,Guatemala,GTM,,,Americas,Movement restrictions,Flights suspension,No,suspension of all flights to and from Guatemala as part of border closure starting 16 March for 15 days,16/03/2020,US Embassy,Government,https://gt.usembassy.gov/u-s-embassy-guatemala-city-guatemala-march-16-2020/,17/03/2020,
1142,Guatemala,GTM,,,Americas,Movement restrictions,Border closure ,Yes,"All flights suspended from March 16-30, except for cargo",16/03/2020,Miami Herald,Media,https://www.miamiherald.com/news/nation-world/world/americas/haiti/article241249651.html,21/03/2020,
1143,Guatemala,GTM,,,Americas,Social distancing,Schools closure ,Yes,officials announced all schools and universities would close for three weeks,14/03/2020,Miami Herald,Media,https://www.miamiherald.com/news/nation-world/world/americas/haiti/article241249651.html,21/03/2020,
1144,Guatemala,GTM,,,Americas,Social distancing,Limit public gatherings,No,All gatherings of more than 100 people were prohibited,14/03/2020,Miami Herald,Media,https://www.miamiherald.com/news/nation-world/world/americas/haiti/article241249651.html,21/03/2020,
1145,Guatemala,GTM,,,Americas,Public health measures,Introduction of quarantine policies,Yes,"Access to Guatemala via land borders will only be authorized for Guatemalan citizens, residents, and diplomats and their family members accredited in Guatemala.  All who enter via land borders will be quarantined and tracked by the Guatemalan Ministry of Health (MSPAS).",17/03/2020,OSAC,Other organisations,https://www.osac.gov/Content/Report/db8c4a5c-e43f-4e22-be8f-18388284d453,21/03/2020,
1577,Guinea,GIN,,,Africa,Movement restrictions,Flights suspension,No,Air travel from any country with more than 30 active transmission cases is suspended.,21/03/2020,US Embassy,Government,https://gn.usembassy.gov/u-s-citizen-services/covid-19-information/,23/03/2020,
1578,Guinea,GIN,,,Africa,Public health measures,Health screenings in airports and border crossings,No,"International airport of Conakry, Conakry and Boké harbours",29/02/2020,MoH,Government,https://sante.gov.gn/communique-du-gouvernement-sur-lepidemie-de-coronavirus-declaree-par-la-chine/,23/03/2020,
1579,Guinea,GIN,,,Africa,Public health measures,Introduction of quarantine policies,No,All travellers who have been in countries with active transmission will be required to surrender their passports and report their temperature to Ministry of Health officials twice a day for 14 days.,18/03/2020,Ministry of Foreign Affairs — France,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/guinee/,23/03/2020,
657,Guinea-Bissau,GNB,,,Africa,Public health measures,Health screenings in airports and border crossings,No,"In case of syntoms, transfered to OMS facilities.",11/03/2020,Ministry of Foreign Affairs - Italy,Government,http://www.viaggiaresicuri.it/country/GNB,16/03/2020,
658,Guinea-Bissau,GNB,,,Africa,Movement restrictions,Flights suspension,Yes,Some flights reductions.,11/03/2020,Ministry of Foreign Affairs - Italy,Government,http://www.viaggiaresicuri.it/country/GNB,16/03/2020,
1266,Guinea-Bissau,GNB,,,Africa,Movement restrictions,Border closure ,No,"On 18 of March, authorities announced the closure of the country’s air, land and maritime borders until further notice.",18/03/2020,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,21/03/2020,
1267,Guinea-Bissau,GNB,,,Africa,Movement restrictions,Flights suspension,No," ban on all flights landing at Osvaldo Viera International Airport beginning on Wednesday, March 18, 2020.",18/03/2020,US Virtual Consulate in Guinea-Bissau,Government,https://gw.usmission.gov/covid-19-information/,21/03/2020,
1268,Guinea-Bissau,GNB,,,Africa,Social distancing,Limit public gatherings,No,"Government has announced the closure of markets, and cessation of concerts, shows, and religious and traditional ceremonies until March 31, 2020.",17/03/2020,US Virtual Consulate in Guinea-Bissau,Government,https://gw.usmission.gov/covid-19-information/,21/03/2020,
1269,Guinea-Bissau,GNB,,,Africa,Social distancing,Schools closure ,Yes,"All schools are closed until March 31, 2020.",17/03/2020,US Virtual Consulate in Guinea-Bissau,Government,https://gw.usmission.gov/covid-19-information/,21/03/2020,
1270,Guinea-Bissau,GNB,,,Africa,Social distancing,Public services closure ,No,"Public services including  government facilities are closed until March 31, 2020.  Markets and restaurants have also closed or restricted access, limiting access to goods and services. ",17/03/2020,US Virtual Consulate in Guinea-Bissau,Government,https://gw.usmission.gov/covid-19-information/,21/03/2020,
79,Guyana,GUY,,,Americas,Public health measures,Health screenings in airports and border crossings,Yes,"Possible from China, Japan, Malaysia, Iran, South Korea, Singapore, Thailand, Italy, USA, French Guiana, Brazil, Panama, St Vincent and the Grenadines, Jamaica and the Dominican Republic.",,Government of the UK,Government,https://www.gov.uk/foreign-travel-advice/guyana/health,14/03/2020,
80,Guyana,GUY,,,Americas,Public health measures,Introduction of quarantine policies,Yes,"Possible from China, Japan, Malaysia, Iran, South Korea, Singapore, Thailand, Italy, USA, French Guiana, Brazil, Panama, St Vincent and the Grenadines, Jamaica and the Dominican Republic.",,Government of the UK,Government,https://www.gov.uk/foreign-travel-advice/guyana/health,14/03/2020,
683,Haiti,HTI,,,Americas,Public health measures,Health screenings in airports and border crossings,No,,6/03/2020,US Embassy,Government,https://ht.usembassy.gov/covid-19-information/,16/03/2020,https://www.haitilibre.com/en/news-29955-haiti-health-surveillance-measures-are-deployed-in-the-country-s-ports-and-airports.html
1580,Haiti,HTI,,,Americas,Movement restrictions,Border closure ,No," Land, sea and air borders closed to travellers.",20/03/2020,Foreign Ministry — UK,Government,https://www.gov.uk/foreign-travel-advice/haiti/health,23/03/2020,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/haiti/
1581,Haiti,HTI,,,Americas,Public health measures,Introduction of quarantine policies,No,Quarantine restrictions of 14 days have been introduced for travellers from affected countries.,19/03/2020,Foreign Ministry — UK,Government,https://www.gov.uk/foreign-travel-advice/haiti/health,23/03/2020,
